Age,Annual_Income,Spending_Score,Savings,Loan_Amount,Gender,City,Education,Marital_Status,Profession
56,29930,28,181940,242099,Male,Ahmedabad,Bachelor,Single,Teacher
69,23285,83,55232,123818,Male,Mumbai,Bachelor,Single,Teacher
46,143637,92,146299,130803,Female,Chennai,Bachelor,Married,Doctor
32,55863,91,149351,15623,Male,Mumbai,Bachelor,Single,Other
60,36704,77,111249,90504,Female,Mumbai,Bachelor,Married,Business
25,38705,38,197012,8809,Male,Bangalore,Bachelor,Divorced,Business
38,20555,43,174808,128690,Male,Mumbai,Master,Divorced,Other
56,41323,21,93916,97907,Female,Mumbai,Master,Single,Other
36,90968,91,141723,187118,Female,Delhi,PhD,Single,Engineer
40,86922,62,85463,114502,Female,Ahmedabad,PhD,Married,Teacher
28,73915,46,8771,240614,Male,Mumbai,PhD,Single,Engineer
28,129543,70,79996,167811,Female,Mumbai,Bachelor,Divorced,Doctor
41,30619,38,71173,209396,Female,Chennai,Bachelor,Single,Doctor
53,92390,49,41834,256933,Female,Mumbai,Master,Divorced,Other
57,148918,75,135625,240785,Male,Bangalore,Master,Married,Doctor
41,128500,81,166189,170910,Female,Chennai,PhD,Divorced,Other
20,134337,39,102290,140206,Male,Mumbai,High School,Single,Business
39,79274,71,194209,189492,Male,Bangalore,High School,Divorced,Teacher
19,93173,30,129928,296575,Male,Ahmedabad,Bachelor,Divorced,Doctor
41,41225,21,35890,256770,Female,Mumbai,Bachelor,Single,Engineer
61,131266,1,94740,205092,Female,Ahmedabad,Bachelor,Married,Doctor
47,46739,89,80428,54565,Female,Mumbai,Master,Divorced,Teacher
55,67708,32,9689,115613,Female,Chennai,Bachelor,Single,Doctor
19,148041,8,29063,156765,Male,Chennai,Bachelor,Divorced,Other
38,73019,69,58198,174631,Female,Bangalore,Bachelor,Divorced,Doctor
50,96154,30,2363,221202,Female,Delhi,High School,Divorced,Business
29,122097,8,148763,220711,Male,Bangalore,High School,Married,Business
39,27373,19,134823,48324,Female,Mumbai,PhD,Divorced,Doctor
61,55281,59,124763,95687,Male,Ahmedabad,Bachelor,Single,Engineer
42,40187,55,8782,180259,Male,Ahmedabad,Master,Single,Doctor
66,87863,30,84184,33147,Female,Mumbai,High School,Divorced,Other
44,117927,79,144612,82914,Male,Delhi,PhD,Married,Other
59,127113,36,46991,263808,Male,Delhi,Bachelor,Single,Other
45,104085,55,71875,7048,Male,Delhi,High School,Married,Engineer
33,137996,44,159681,48935,Female,Mumbai,Master,Married,Business
32,59220,27,57655,158554,Female,Chennai,Master,Single,Other
64,142755,77,64177,122884,Female,Chennai,Master,Single,Other
68,27642,78,59396,169045,Male,Mumbai,Master,Married,Doctor
61,99971,54,17877,114982,Female,Chennai,Bachelor,Divorced,Business
69,75556,48,128934,60885,Female,Delhi,PhD,Married,Other
20,53760,30,19405,285205,Male,Chennai,PhD,Single,Other
54,58192,39,117435,82015,Female,Mumbai,Master,Married,Doctor
68,144257,13,49629,114508,Female,Chennai,Bachelor,Single,Doctor
24,24381,16,47233,122700,Male,Chennai,PhD,Divorced,Teacher
38,116583,44,22471,180669,Female,Chennai,PhD,Divorced,Doctor
26,39558,71,4302,146964,Male,Chennai,PhD,Divorced,Doctor
56,50782,27,114466,291075,Female,Mumbai,Master,Divorced,Teacher
35,24782,45,81048,105175,Female,Bangalore,Bachelor,Divorced,Other
21,111417,35,98972,291798,Female,Chennai,Master,Single,Doctor
42,74712,79,155583,93478,Male,Bangalore,Bachelor,Married,Engineer
31,125764,28,137094,194892,Female,Mumbai,High School,Divorced,Teacher
67,114945,99,44239,264220,Female,Ahmedabad,Bachelor,Single,Teacher
26,39462,7,129185,58886,Male,Bangalore,Bachelor,Married,Other
43,80030,62,124811,221220,Female,Mumbai,Master,Married,Doctor
19,88519,51,122097,210914,Male,Ahmedabad,Master,Divorced,Engineer
37,76411,46,60269,240361,Female,Chennai,High School,Divorced,Other
45,75206,20,104558,70027,Female,Mumbai,Master,Married,Doctor
64,117469,96,91868,6425,Female,Delhi,Bachelor,Married,Other
24,66950,38,190470,137805,Female,Ahmedabad,PhD,Single,Teacher
61,22523,61,62895,181447,Female,Delhi,Master,Divorced,Teacher
25,80926,32,70890,69411,Female,Chennai,PhD,Married,Doctor
64,29677,26,98383,277747,Male,Chennai,PhD,Married,Other
52,95828,58,36284,279296,Female,Bangalore,PhD,Divorced,Doctor
31,35089,39,180712,228543,Male,Chennai,Master,Single,Business
34,24581,20,76692,113051,Female,Bangalore,Bachelor,Single,Doctor
53,31907,82,154525,288212,Male,Ahmedabad,PhD,Divorced,Business
67,25609,50,90294,280675,Male,Delhi,High School,Single,Teacher
57,71153,79,170048,105694,Male,Ahmedabad,Master,Single,Engineer
21,70539,52,145797,227089,Female,Delhi,PhD,Single,Teacher
19,64143,86,175115,103197,Female,Mumbai,PhD,Married,Engineer
23,42936,22,95852,244092,Male,Ahmedabad,Master,Married,Other
59,70182,53,78080,148531,Male,Mumbai,Bachelor,Single,Engineer
21,128261,85,197062,222713,Male,Delhi,High School,Divorced,Other
46,131259,66,82863,109445,Male,Bangalore,PhD,Divorced,Business
35,119524,43,178881,111243,Male,Ahmedabad,High School,Divorced,Other
43,115042,82,17705,75313,Male,Ahmedabad,Master,Single,Doctor
61,33163,23,64131,264392,Female,Bangalore,Bachelor,Divorced,Doctor
51,146686,77,77015,258025,Female,Bangalore,Master,Married,Doctor
27,79758,64,63456,213040,Male,Chennai,Bachelor,Divorced,Teacher
53,66057,9,77859,270945,Female,Chennai,PhD,Divorced,Doctor
31,32537,7,155161,209118,Male,Delhi,PhD,Married,Other
48,42419,41,68238,85729,Male,Ahmedabad,PhD,Married,Other
65,62578,54,76940,287155,Female,Bangalore,Bachelor,Single,Other
32,94991,65,100134,199035,Male,Bangalore,Master,Single,Doctor
25,141211,2,74916,256139,Female,Mumbai,PhD,Single,Business
31,142762,4,62396,187766,Male,Chennai,Bachelor,Single,Business
40,94599,78,4877,85085,Male,Mumbai,PhD,Single,Teacher
57,20834,32,109407,21583,Female,Bangalore,Master,Married,Other
38,52214,2,85256,135283,Female,Ahmedabad,High School,Married,Other
33,112934,64,32818,220175,Female,Ahmedabad,High School,Married,Teacher
62,143798,14,49555,281345,Male,Mumbai,Master,Divorced,Other
35,120028,20,43368,206651,Female,Chennai,PhD,Divorced,Engineer
64,141286,89,180252,287564,Male,Delhi,PhD,Divorced,Teacher
41,22413,49,124054,45602,Male,Ahmedabad,High School,Single,Other
43,29505,8,90666,189196,Female,Delhi,High School,Divorced,Teacher
42,140681,92,99777,105156,Male,Chennai,High School,Single,Engineer
62,122802,63,110928,279773,Female,Mumbai,High School,Single,Engineer
58,22105,46,50421,33675,Female,Chennai,Bachelor,Single,Doctor
46,88104,21,27620,137734,Male,Bangalore,Master,Single,Other
32,148303,87,122238,12589,Male,Chennai,PhD,Divorced,Engineer
62,127634,32,61539,9655,Female,Mumbai,PhD,Married,Engineer
18,134897,8,18077,146869,Female,Mumbai,Master,Single,Engineer
42,78408,95,144735,233538,Male,Chennai,PhD,Divorced,Doctor
24,57679,16,84335,11645,Female,Mumbai,PhD,Single,Other
26,136908,40,48285,157504,Male,Bangalore,High School,Single,Teacher
41,134921,27,183307,179683,Male,Delhi,PhD,Married,Doctor
18,119096,18,149691,41760,Female,Chennai,Master,Single,Other
61,99731,35,70503,230049,Male,Mumbai,Master,Married,Engineer
25,132205,52,125851,33233,Female,Delhi,Master,Divorced,Doctor
41,85131,15,58477,237893,Female,Bangalore,PhD,Single,Business
28,84280,63,28488,203876,Male,Chennai,Bachelor,Married,Business
68,35762,53,79747,250382,Male,Mumbai,High School,Single,Engineer
34,137798,91,22169,140510,Male,Delhi,Master,Single,Other
25,136854,81,31373,245877,Female,Bangalore,Bachelor,Single,Other
52,126830,66,33669,181968,Female,Ahmedabad,PhD,Married,Doctor
52,78703,31,56277,16319,Female,Mumbai,High School,Divorced,Business
50,101434,61,56120,116930,Female,Bangalore,Bachelor,Married,Other
22,83079,64,67376,115629,Female,Delhi,PhD,Divorced,Doctor
59,41577,98,55235,30940,Female,Chennai,PhD,Married,Doctor
56,21214,34,166301,259802,Male,Delhi,Bachelor,Married,Business
58,106339,55,87854,233056,Male,Chennai,Bachelor,Divorced,Engineer
45,68114,59,16405,258380,Male,Bangalore,Master,Divorced,Doctor
24,109234,3,114307,179513,Female,Bangalore,High School,Divorced,Engineer
26,83230,17,102776,25688,Male,Delhi,High School,Married,Business
25,143163,78,147919,19472,Female,Delhi,Master,Divorced,Doctor
29,52980,78,24547,85436,Male,Chennai,High School,Single,Teacher
51,87194,46,7575,40671,Male,Mumbai,High School,Single,Business
50,97806,38,96659,196881,Male,Delhi,PhD,Single,Business
65,132333,35,136915,278104,Male,Mumbai,Bachelor,Single,Teacher
40,57792,1,139811,212692,Female,Mumbai,Master,Divorced,Business
41,65807,29,15852,129118,Female,Mumbai,Bachelor,Divorced,Teacher
54,144297,4,52661,209433,Male,Bangalore,High School,Single,Teacher
52,145266,61,141229,226813,Male,Bangalore,High School,Divorced,Business
61,42301,97,88942,40976,Female,Mumbai,Master,Single,Teacher
57,25141,17,117726,206282,Female,Mumbai,Bachelor,Married,Teacher
39,136482,28,111736,243470,Male,Bangalore,PhD,Divorced,Business
44,124292,50,73968,112549,Male,Chennai,Bachelor,Married,Teacher
52,142984,90,19837,135120,Male,Ahmedabad,Bachelor,Divorced,Engineer
18,33777,8,81684,70658,Male,Delhi,Master,Divorced,Business
52,58346,34,118704,55108,Male,Mumbai,PhD,Divorced,Business
54,74703,59,77730,157552,Male,Bangalore,Bachelor,Married,Engineer
64,114977,18,146891,14443,Female,Mumbai,Bachelor,Married,Other
31,67819,95,8404,137062,Female,Mumbai,High School,Single,Doctor
20,48469,59,15674,258685,Female,Mumbai,High School,Married,Teacher
18,23845,27,86923,257585,Female,Mumbai,PhD,Married,Teacher
22,130186,16,150769,296241,Male,Chennai,Bachelor,Single,Doctor
43,43290,10,192735,206317,Female,Delhi,Bachelor,Married,Teacher
31,132551,76,155642,248968,Female,Delhi,High School,Married,Teacher
56,50699,22,106319,93015,Female,Bangalore,PhD,Single,Engineer
44,64252,16,29037,264941,Male,Chennai,Master,Married,Engineer
26,118682,12,114565,229086,Male,Chennai,High School,Single,Engineer
32,23293,75,107086,228687,Male,Delhi,Bachelor,Divorced,Engineer
32,138017,84,38982,166838,Female,Bangalore,Master,Divorced,Business
43,139496,51,124309,155859,Female,Chennai,Bachelor,Married,Teacher
59,129934,1,106242,58034,Male,Bangalore,Bachelor,Divorced,Doctor
30,77089,27,6156,102431,Male,Delhi,Bachelor,Married,Teacher
68,131964,67,39280,295378,Female,Mumbai,PhD,Single,Business
49,36608,12,76324,35568,Male,Chennai,Master,Single,Business
56,148713,30,61706,73633,Male,Bangalore,Bachelor,Single,Teacher
66,86273,9,142043,114582,Female,Mumbai,PhD,Divorced,Teacher
69,36619,53,185212,122634,Female,Delhi,Master,Single,Engineer
49,98006,61,44408,189526,Female,Ahmedabad,High School,Single,Business
21,135399,54,184094,217576,Male,Chennai,PhD,Married,Teacher
47,107908,37,138559,196703,Female,Chennai,Master,Married,Doctor
54,101653,65,21997,121170,Female,Bangalore,Bachelor,Married,Doctor
40,34779,42,47456,21642,Male,Delhi,Bachelor,Married,Engineer
56,71040,49,131865,84176,Male,Delhi,PhD,Single,Engineer
62,114830,4,78988,87373,Male,Chennai,High School,Married,Teacher
32,76325,64,81908,276134,Female,Chennai,PhD,Divorced,Doctor
60,135947,79,191488,187735,Female,Bangalore,High School,Divorced,Business
46,41630,51,176839,9170,Male,Bangalore,High School,Divorced,Other
53,125575,91,78952,160889,Female,Ahmedabad,PhD,Married,Doctor
30,135436,72,85784,137784,Female,Mumbai,PhD,Single,Business
49,32178,60,160266,258186,Female,Bangalore,PhD,Married,Doctor
24,39935,87,165857,188551,Female,Mumbai,Master,Divorced,Teacher
68,67258,79,59676,216911,Male,Chennai,Master,Married,Other
39,42784,91,9373,258795,Female,Ahmedabad,PhD,Divorced,Other
45,83722,31,162355,26625,Female,Ahmedabad,Master,Single,Teacher
19,43027,72,187983,149833,Female,Ahmedabad,Master,Single,Teacher
59,116544,94,95951,268965,Male,Delhi,High School,Single,Engineer
62,77853,58,27414,105120,Female,Chennai,Bachelor,Single,Business
23,132167,82,146450,184718,Female,Delhi,Bachelor,Single,Business
45,87359,4,118139,250851,Female,Delhi,Master,Married,Engineer
45,92388,22,84872,41200,Male,Ahmedabad,High School,Single,Business
61,98608,3,136772,184322,Female,Delhi,PhD,Married,Other
61,96669,79,196215,165256,Male,Chennai,High School,Divorced,Doctor
37,35111,99,195301,162667,Female,Chennai,High School,Divorced,Other
47,52312,47,145973,96568,Male,Delhi,Bachelor,Single,Engineer
28,149321,38,91374,109567,Male,Chennai,PhD,Married,Business
45,44161,33,154669,284901,Female,Mumbai,Bachelor,Single,Business
42,138920,78,165500,112136,Female,Delhi,Master,Divorced,Doctor
56,124823,48,167759,231401,Male,Ahmedabad,Bachelor,Married,Doctor
50,145014,65,30493,197421,Male,Ahmedabad,High School,Divorced,Doctor
18,87313,26,126074,174002,Female,Chennai,PhD,Married,Other
44,70374,8,52224,97342,Female,Chennai,PhD,Divorced,Engineer
69,44014,50,32852,93760,Female,Ahmedabad,PhD,Single,Engineer
30,100308,80,11932,139883,Female,Mumbai,Bachelor,Single,Engineer
58,66389,38,89545,166440,Female,Ahmedabad,Bachelor,Single,Other
20,130163,10,196274,279277,Female,Delhi,Bachelor,Divorced,Teacher
56,38161,42,34583,51986,Female,Ahmedabad,Master,Divorced,Business
23,127800,37,179350,229179,Male,Bangalore,Bachelor,Divorced,Other
25,27490,26,30865,60508,Male,Mumbai,Master,Single,Engineer
44,139547,92,144361,268545,Female,Mumbai,Bachelor,Divorced,Other
26,127197,12,71270,146076,Female,Ahmedabad,Master,Divorced,Other
54,44502,84,86549,234921,Female,Bangalore,High School,Single,Teacher
50,55757,49,167593,171373,Male,Delhi,High School,Divorced,Doctor
68,61111,14,138577,141973,Male,Ahmedabad,PhD,Married,Engineer
59,118273,46,131768,263978,Female,Delhi,High School,Divorced,Other
61,103245,35,45327,184881,Female,Bangalore,PhD,Single,Doctor
41,78645,29,114209,131545,Male,Ahmedabad,Master,Married,Business
32,130218,12,197591,63171,Male,Ahmedabad,PhD,Single,Business
49,79055,82,115889,277498,Male,Delhi,High School,Single,Business
49,139815,44,19409,235651,Female,Ahmedabad,Master,Single,Other
41,28998,66,151589,63860,Female,Bangalore,PhD,Married,Other
58,48906,2,45533,276648,Male,Ahmedabad,Master,Married,Teacher
69,121026,59,162547,190392,Female,Chennai,Master,Single,Engineer
66,90192,17,16327,139595,Female,Bangalore,High School,Divorced,Doctor
66,70477,10,56344,28982,Female,Mumbai,Master,Married,Business
69,56901,18,4671,268193,Male,Delhi,Bachelor,Single,Doctor
29,111271,22,92908,280525,Male,Bangalore,High School,Divorced,Teacher
56,72021,83,51756,243825,Male,Mumbai,PhD,Single,Business
19,49092,58,177031,253038,Female,Mumbai,Bachelor,Married,Doctor
20,21242,53,160152,53390,Female,Bangalore,High School,Married,Engineer
66,126843,1,25544,237361,Male,Mumbai,Master,Divorced,Engineer
54,21831,88,77347,279205,Female,Mumbai,PhD,Married,Teacher
66,70721,61,19733,76241,Male,Chennai,Master,Single,Doctor
34,48511,89,186283,263565,Female,Ahmedabad,Master,Single,Teacher
66,92782,31,172768,69535,Female,Chennai,PhD,Divorced,Teacher
19,117003,31,49093,56576,Female,Ahmedabad,PhD,Divorced,Teacher
19,38302,66,106424,33147,Female,Mumbai,High School,Divorced,Other
45,75568,19,179114,121622,Female,Ahmedabad,High School,Divorced,Engineer
40,23232,53,185588,234155,Male,Chennai,Master,Single,Other
54,122062,76,96595,46929,Male,Delhi,High School,Single,Other
49,124301,74,38487,67637,Female,Delhi,Bachelor,Single,Engineer
50,71507,95,121931,158084,Male,Ahmedabad,PhD,Single,Teacher
18,144277,22,41849,14525,Female,Delhi,Master,Divorced,Doctor
36,149999,23,146622,134228,Female,Bangalore,Bachelor,Married,Teacher
19,96508,87,77400,48348,Female,Delhi,Bachelor,Single,Teacher
61,133672,15,130120,65447,Male,Ahmedabad,PhD,Married,Other
43,120128,26,91930,115709,Female,Mumbai,High School,Divorced,Doctor
49,30683,3,50699,237312,Female,Chennai,Bachelor,Divorced,Engineer
23,43664,87,91470,91030,Male,Delhi,Master,Married,Business
49,122364,20,145779,202953,Female,Ahmedabad,Bachelor,Divorced,Engineer
21,140012,40,133996,84866,Male,Chennai,PhD,Married,Doctor
28,53172,39,96023,56826,Male,Bangalore,High School,Single,Engineer
34,103641,72,30018,211355,Male,Mumbai,High School,Divorced,Other
55,84340,18,22031,100822,Male,Chennai,Master,Divorced,Doctor
41,107236,41,197236,295172,Male,Chennai,Master,Married,Business
22,31017,70,105985,37887,Male,Ahmedabad,Master,Married,Business
69,56613,27,69237,70045,Male,Bangalore,Master,Married,Doctor
51,106130,15,109426,109136,Female,Delhi,Master,Married,Engineer
23,96920,37,181645,263507,Female,Bangalore,Bachelor,Married,Business
39,50348,58,17719,264797,Female,Mumbai,Bachelor,Divorced,Doctor
28,36448,5,10718,32428,Female,Delhi,PhD,Married,Doctor
65,29491,73,1056,137685,Female,Bangalore,High School,Single,Doctor
33,98648,7,147424,78159,Female,Mumbai,Bachelor,Married,Teacher
50,141070,41,122743,106337,Female,Chennai,Master,Divorced,Engineer
26,116557,84,48820,207267,Female,Chennai,PhD,Single,Doctor
23,78759,10,69683,181095,Male,Chennai,Master,Divorced,Doctor
33,64553,62,70073,34653,Female,Chennai,High School,Married,Teacher
46,20968,26,1721,82512,Female,Delhi,Master,Divorced,Other
20,20368,68,184041,114122,Male,Chennai,PhD,Divorced,Teacher
